ano;sigla_uf;id_municipio;numero_obitos
1996;BA;2925006;106
1996;BA;2925105;234
1996;BA;2925204;117
1996;BA;2925253;17
1996;BA;2925303;266
1996;BA;2925402;25
1996;BA;2925501;123
1996;BA;2925600;25
1996;BA;2925709;35
1996;BA;2925758;31
1996;BA;2925808;87
1996;BA;2925907;38
1996;BA;2925931;22
1996;BA;2925956;74
1996;BA;2926004;5
1996;BA;2926103;66
1996;BA;2926202;57
1996;BA;2926301;128
1996;BA;2926400;93
1996;BA;2926509;29
1996;BA;2926608;129
1996;BA;2926657;2
1996;BA;2926707;57
1996;BA;2926806;25
1996;BA;2926905;2
1996;BA;2927002;156
1996;BA;2927101;17
1996;BA;2927200;262
1996;BA;2927309;49
1996;BA;2927408;12899
1996;BA;2927507;106
1996;BA;2927606;48
1996;BA;2927705;25
1996;BA;2927804;18
1996;BA;2927903;76
1996;BA;2928000;98
1996;BA;2928059;65
1996;BA;2928109;138
1996;BA;2928208;80
1996;BA;2928307;60
1996;BA;2928406;85
1996;BA;2928505;37
1996;BA;2928604;407
1996;BA;2928703;496
1996;BA;2928802;271
1996;BA;2928901;47
1996;BA;2928950;33
1996;BA;2929008;93
1996;BA;2929057;30
1996;BA;2929107;135
1996;BA;2929206;88
1996;BA;2929255;44
1996;BA;2929305;183
1996;BA;2929354;30
1996;BA;2929370;24
1996;BA;2929404;21
1996;BA;2929503;203
1996;BA;2929602;80
1996;BA;2929701;86
1996;BA;2929750;6
1996;BA;2929800;72
1996;BA;2929909;67
1996;BA;2930006;23
1996;BA;2930105;377
1996;BA;2930154;45
1996;BA;2930204;8
1996;BA;2930303;59
1996;BA;2930402;5
1996;BA;2930501;380
1996;BA;2930600;29
1996;BA;2930709;396
1996;BA;2930758;10
1996;BA;2930766;20
1996;BA;2930774;48
1996;BA;2930808;61
1996;BA;2930907;31
1996;BA;2931004;58
1996;BA;2931053;2
1996;BA;2931103;45
1996;BA;2931202;56
1996;BA;2931301;57
1996;BA;2931350;507
1996;BA;2931400;49
1996;BA;2931509;67
1996;BA;2931608;17
1996;BA;2931707;64
1996;BA;2931806;90
1996;BA;2931905;116
1996;BA;2932002;14
1996;BA;2932101;139
1996;BA;2932200;170
1996;BA;2932309;129
1996;BA;2932408;12
1996;BA;2932457;1
1996;BA;2932507;105
1996;BA;2932606;62
1996;BA;2932705;136
1996;BA;2932804;74
1996;BA;2932903;390
1996;BA;2933000;84
1996;BA;2933059;57
1996;BA;2933109;40
1996;BA;2933158;26
1996;BA;2933174;29
1996;BA;2933208;95
1996;BA;2933257;13
1996;BA;2933307;1327
1996;BA;2933406;16
1996;BA;2933455;36
1996;BA;2933505;41
1996;BA;2933604;137
1996;GO;5200000;279
1996;GO;5200100;38
1996;GO;5200134;45
1996;GO;5200159;8
1996;GO;5200175;7
1996;GO;5200209;18
1996;GO;5200308;113
1996;GO;5200506;14
1996;GO;5200555;2
1996;GO;5200605;11
1996;GO;5200803;21
1996;GO;5200852;35
